Name
Apples
Artichokes
Avocados
Basil
Beets
Bok Choy
Broccoli
Brussels Sprouts
Burdock
Cabbage
Cardoons
Carrots
Cauliflower
Celery
Celery Root
Chard
Chestnuts
Chicories
Chili Peppers
Cilantro
Citrus
Clementines
Collard Greens
Dates
Endive
Fennel
Garlic
Grapefruit
Grapes
Green Beans
Green Onions
Horseradish
Kale
Kiwi
Kohlrabi
Lamb's Quarters
Leeks
Lemons
Lettuce
Mandarins
Mint
Mushrooms
Mustard Greens
Onions
Oranges
Oregano
Parsley
Parsnips
Pears
Peppers
Persimmons
Pomegranates
Potatoes
Pummelo
Radicchio
Radishes
Rosemary
Rutabaga
Sage
Salsify
Snap Peas
Snow Peas
Sorrel
Spinach
Sprouts
Sunchokes
Sweet Potatoes
Tangerines
Tarragon
Thyme
Tomatoes
Turnips
Watercress
Winter Squash
